Customer_id,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome
1,telephone,may,mon,307,1,999,0,nonexistent
2,telephone,may,mon,198,1,999,0,nonexistent
3,telephone,may,mon,139,1,999,0,nonexistent
4,telephone,may,mon,217,1,999,0,nonexistent
5,telephone,may,mon,380,1,999,0,nonexistent
6,telephone,may,mon,50,1,999,0,nonexistent
7,telephone,may,mon,55,1,999,0,nonexistent
8,telephone,may,mon,222,1,999,0,nonexistent
9,telephone,may,mon,137,1,999,0,nonexistent
10,telephone,may,mon,293,1,999,0,nonexistent
11,telephone,may,mon,146,1,999,0,nonexistent
12,telephone,may,mon,174,1,999,0,nonexistent
13,telephone,may,mon,312,1,999,0,nonexistent
14,telephone,may,mon,440,1,999,0,nonexistent
15,telephone,may,mon,353,1,999,0,nonexistent
16,telephone,may,mon,195,1,999,0,nonexistent
17,telephone,may,mon,262,1,999,0,nonexistent
18,telephone,may,mon,342,1,999,0,nonexistent
19,telephone,may,mon,181,1,999,0,nonexistent
20,telephone,may,mon,172,1,999,0,nonexistent
21,telephone,may,mon,99,1,999,0,nonexistent
22,telephone,may,mon,93,1,999,0,nonexistent
23,telephone,may,mon,255,2,999,0,nonexistent
24,telephone,may,mon,362,1,999,0,nonexistent
25,telephone,may,mon,348,1,999,0,nonexistent
26,telephone,may,mon,73,1,999,0,nonexistent
27,telephone,may,mon,230,1,999,0,nonexistent
28,telephone,may,mon,208,1,999,0,nonexistent
29,telephone,may,mon,336,1,999,0,nonexistent
30,telephone,may,mon,365,1,999,0,nonexistent
31,telephone,may,mon,1666,1,999,0,nonexistent
32,telephone,may,mon,577,1,999,0,nonexistent
33,telephone,may,mon,137,1,999,0,nonexistent
34,telephone,may,mon,366,1,999,0,nonexistent
35,telephone,may,mon,314,1,999,0,nonexistent
36,telephone,may,mon,160,1,999,0,nonexistent
37,telephone,may,mon,212,1,999,0,nonexistent
38,telephone,may,mon,188,1,999,0,nonexistent
39,telephone,may,mon,22,1,999,0,nonexistent
40,telephone,may,mon,616,1,999,0,nonexistent
41,telephone,may,mon,178,1,999,0,nonexistent
42,telephone,may,mon,355,1,999,0,nonexistent
43,telephone,may,mon,225,2,999,0,nonexistent
44,telephone,may,mon,160,1,999,0,nonexistent
45,telephone,may,mon,266,1,999,0,nonexistent
46,telephone,may,mon,253,1,999,0,nonexistent
47,telephone,may,mon,179,1,999,0,nonexistent
48,telephone,may,mon,269,2,999,0,nonexistent
49,telephone,may,mon,135,1,999,0,nonexistent
50,telephone,may,mon,161,1,999,0,nonexistent
51,telephone,may,mon,787,1,999,0,nonexistent
52,telephone,may,mon,145,1,999,0,nonexistent
53,telephone,may,mon,174,1,999,0,nonexistent
54,telephone,may,mon,449,1,999,0,nonexistent
55,telephone,may,mon,812,1,999,0,nonexistent
56,telephone,may,mon,164,1,999,0,nonexistent
57,telephone,may,mon,366,1,999,0,nonexistent
58,telephone,may,mon,357,1,999,0,nonexistent
59,telephone,may,mon,232,1,999,0,nonexistent
60,telephone,may,mon,91,1,999,0,nonexistent
61,telephone,may,mon,273,1,999,0,nonexistent
62,telephone,may,mon,158,2,999,0,nonexistent
63,telephone,may,mon,177,1,999,0,nonexistent
64,telephone,may,mon,200,1,999,0,nonexistent
65,telephone,may,mon,172,1,999,0,nonexistent
66,telephone,may,mon,176,1,999,0,nonexistent
67,telephone,may,mon,211,1,999,0,nonexistent
68,telephone,may,mon,214,1,999,0,nonexistent
69,telephone,may,mon,1575,1,999,0,nonexistent
70,telephone,may,mon,349,1,999,0,nonexistent
71,telephone,may,mon,337,2,999,0,nonexistent
72,telephone,may,mon,208,1,999,0,nonexistent
73,telephone,may,mon,193,1,999,0,nonexistent
74,telephone,may,mon,212,1,999,0,nonexistent
75,telephone,may,mon,165,2,999,0,nonexistent
76,telephone,may,mon,1042,1,999,0,nonexistent
77,telephone,may,mon,20,1,999,0,nonexistent
78,telephone,may,mon,246,1,999,0,nonexistent
79,telephone,may,mon,529,2,999,0,nonexistent
80,telephone,may,mon,1467,1,999,0,nonexistent
81,telephone,may,mon,188,2,999,0,nonexistent
82,telephone,may,mon,180,2,999,0,nonexistent
83,telephone,may,mon,48,1,999,0,nonexistent
84,telephone,may,mon,213,2,999,0,nonexistent
85,telephone,may,mon,545,1,999,0,nonexistent
86,telephone,may,mon,583,1,999,0,nonexistent
87,telephone,may,mon,221,1,999,0,nonexistent
88,telephone,may,mon,426,1,999,0,nonexistent
89,telephone,may,mon,287,1,999,0,nonexistent
90,telephone,may,mon,197,1,999,0,nonexistent
91,telephone,may,mon,257,1,999,0,nonexistent
92,telephone,may,mon,229,1,999,0,nonexistent
93,telephone,may,mon,55,3,999,0,nonexistent
94,telephone,may,mon,400,1,999,0,nonexistent
95,telephone,may,mon,197,1,999,0,nonexistent
96,telephone,may,mon,190,1,999,0,nonexistent
97,telephone,may,mon,21,1,999,0,nonexistent
98,telephone,may,mon,300,2,999,0,nonexistent
99,telephone,may,mon,123,2,999,0,nonexistent
100,telephone,may,mon,293,1,999,0,nonexistent
101,telephone,may,mon,325,1,999,0,nonexistent
102,telephone,may,mon,514,1,999,0,nonexistent
103,telephone,may,mon,849,2,999,0,nonexistent
104,telephone,may,mon,194,1,999,0,nonexistent
105,telephone,may,mon,212,2,999,0,nonexistent
106,telephone,may,mon,337,2,999,0,nonexistent
107,telephone,may,mon,286,1,999,0,nonexistent
108,telephone,may,mon,247,2,999,0,nonexistent
109,telephone,may,mon,518,1,999,0,nonexistent
110,telephone,may,mon,364,1,999,0,nonexistent
111,telephone,may,mon,178,1,999,0,nonexistent
112,telephone,may,mon,98,1,999,0,nonexistent
113,telephone,may,mon,439,1,999,0,nonexistent
114,telephone,may,mon,139,1,999,0,nonexistent
115,telephone,may,mon,79,1,999,0,nonexistent
116,telephone,may,mon,175,1,999,0,nonexistent
117,telephone,may,mon,262,2,999,0,nonexistent
118,telephone,may,mon,61,1,999,0,nonexistent
119,telephone,may,mon,78,1,999,0,nonexistent
120,telephone,may,mon,102,2,999,0,nonexistent
121,telephone,may,mon,579,1,999,0,nonexistent
122,telephone,may,mon,143,1,999,0,nonexistent
123,telephone,may,mon,677,1,999,0,nonexistent
124,telephone,may,mon,267,1,999,0,nonexistent
125,telephone,may,mon,345,1,999,0,nonexistent
126,telephone,may,mon,185,1,999,0,nonexistent
127,telephone,may,mon,207,1,999,0,nonexistent
128,telephone,may,mon,69,2,999,0,nonexistent
129,telephone,may,mon,100,2,999,0,nonexistent
130,telephone,may,mon,125,2,999,0,nonexistent
131,telephone,may,mon,240,1,999,0,nonexistent
132,telephone,may,mon,70,1,999,0,nonexistent
133,telephone,may,mon,193,1,999,0,nonexistent
134,telephone,may,mon,136,1,999,0,nonexistent
135,telephone,may,mon,73,1,999,0,nonexistent
136,telephone,may,mon,528,1,999,0,nonexistent
137,telephone,may,mon,541,1,999,0,nonexistent
138,telephone,may,mon,338,1,999,0,nonexistent
139,telephone,may,mon,163,1,999,0,nonexistent
140,telephone,may,mon,87,1,999,0,nonexistent
141,telephone,may,mon,301,1,999,0,nonexistent
142,telephone,may,mon,46,1,999,0,nonexistent
143,telephone,may,mon,52,1,999,0,nonexistent
144,telephone,may,mon,155,1,999,0,nonexistent
145,telephone,may,mon,71,1,999,0,nonexistent
146,telephone,may,mon,243,1,999,0,nonexistent
147,telephone,may,mon,186,2,999,0,nonexistent
148,telephone,may,mon,579,2,999,0,nonexistent
149,telephone,may,mon,165,2,999,0,nonexistent
150,telephone,may,mon,163,2,999,0,nonexistent
151,telephone,may,mon,46,1,999,0,nonexistent
152,telephone,may,mon,559,3,999,0,nonexistent
153,telephone,may,mon,85,1,999,0,nonexistent
154,telephone,may,mon,506,1,999,0,nonexistent
155,telephone,may,mon,114,2,999,0,nonexistent
156,telephone,may,mon,114,2,999,0,nonexistent
157,telephone,may,mon,843,2,999,0,nonexistent
158,telephone,may,mon,427,1,999,0,nonexistent
159,telephone,may,mon,192,1,999,0,nonexistent
160,telephone,may,mon,128,2,999,0,nonexistent
161,telephone,may,mon,107,1,999,0,nonexistent
162,telephone,may,mon,303,2,999,0,nonexistent
163,telephone,may,mon,81,1,999,0,nonexistent
164,telephone,may,mon,270,1,999,0,nonexistent
165,telephone,may,mon,228,1,999,0,nonexistent
166,telephone,may,mon,240,1,999,0,nonexistent
167,telephone,may,mon,233,3,999,0,nonexistent
168,telephone,may,mon,102,1,999,0,nonexistent
169,telephone,may,mon,461,1,999,0,nonexistent
170,telephone,may,mon,250,1,999,0,nonexistent
171,telephone,may,mon,130,1,999,0,nonexistent
172,telephone,may,mon,252,1,999,0,nonexistent
173,telephone,may,mon,138,1,999,0,nonexistent
174,telephone,may,mon,412,1,999,0,nonexistent
175,telephone,may,mon,179,2,999,0,nonexistent
176,telephone,may,mon,228,2,999,0,nonexistent
177,telephone,may,mon,55,1,999,0,nonexistent
178,telephone,may,mon,717,1,999,0,nonexistent
179,telephone,may,mon,313,1,999,0,nonexistent
180,telephone,may,mon,289,1,999,0,nonexistent
181,telephone,may,mon,683,2,999,0,nonexistent
182,telephone,may,mon,1077,1,999,0,nonexistent
183,telephone,may,mon,146,2,999,0,nonexistent
184,telephone,may,mon,167,1,999,0,nonexistent
185,telephone,may,mon,277,1,999,0,nonexistent
186,telephone,may,mon,172,1,999,0,nonexistent
187,telephone,may,mon,218,1,999,0,nonexistent
188,telephone,may,mon,217,1,999,0,nonexistent
189,telephone,may,mon,67,1,999,0,nonexistent
190,telephone,may,mon,291,1,999,0,nonexistent
191,telephone,may,mon,248,1,999,0,nonexistent
192,telephone,may,mon,286,1,999,0,nonexistent
193,telephone,may,mon,477,1,999,0,nonexistent
194,telephone,may,mon,611,2,999,0,nonexistent
195,telephone,may,mon,471,1,999,0,nonexistent
196,telephone,may,mon,381,2,999,0,nonexistent
197,telephone,may,mon,251,1,999,0,nonexistent
198,telephone,may,mon,408,1,999,0,nonexistent
199,telephone,may,mon,287,1,999,0,nonexistent
200,telephone,may,mon,322,3,999,0,nonexistent
201,telephone,may,mon,216,2,999,0,nonexistent
202,telephone,may,mon,366,2,999,0,nonexistent
203,telephone,may,mon,210,1,999,0,nonexistent
204,telephone,may,mon,288,1,999,0,nonexistent
205,telephone,may,mon,168,1,999,0,nonexistent
206,telephone,may,mon,132,1,999,0,nonexistent
207,telephone,may,mon,64,2,999,0,nonexistent
208,telephone,may,mon,209,2,999,0,nonexistent
209,telephone,may,mon,177,1,999,0,nonexistent
210,telephone,may,mon,580,2,999,0,nonexistent
211,telephone,may,mon,165,1,999,0,nonexistent
212,telephone,may,mon,127,2,999,0,nonexistent
213,telephone,may,mon,357,1,999,0,nonexistent
214,telephone,may,mon,175,1,999,0,nonexistent
215,telephone,may,mon,300,1,999,0,nonexistent
216,telephone,may,mon,136,1,999,0,nonexistent
217,telephone,may,mon,125,2,999,0,nonexistent
218,telephone,may,mon,189,2,999,0,nonexistent
219,telephone,may,mon,213,3,999,0,nonexistent
220,telephone,may,mon,238,2,999,0,nonexistent
221,telephone,may,mon,124,1,999,0,nonexistent
222,telephone,may,mon,18,1,999,0,nonexistent
223,telephone,may,mon,730,2,999,0,nonexistent
224,telephone,may,mon,40,1,999,0,nonexistent
225,telephone,may,mon,181,2,999,0,nonexistent
226,telephone,may,mon,79,1,999,0,nonexistent
227,telephone,may,mon,142,2,999,0,nonexistent
228,telephone,may,mon,702,1,999,0,nonexistent
229,telephone,may,mon,151,1,999,0,nonexistent
230,telephone,may,mon,211,1,999,0,nonexistent
231,telephone,may,mon,117,1,999,0,nonexistent
232,telephone,may,mon,232,3,999,0,nonexistent
233,telephone,may,mon,408,2,999,0,nonexistent
234,telephone,may,mon,370,3,999,0,nonexistent
235,telephone,may,mon,179,2,999,0,nonexistent
236,telephone,may,mon,181,1,999,0,nonexistent
237,telephone,may,mon,119,1,999,0,nonexistent
238,telephone,may,mon,361,1,999,0,nonexistent
239,telephone,may,mon,73,3,999,0,nonexistent
240,telephone,may,mon,67,2,999,0,nonexistent
241,telephone,may,mon,350,1,999,0,nonexistent
242,telephone,may,mon,150,2,999,0,nonexistent
243,telephone,may,mon,332,2,999,0,nonexistent
244,telephone,may,mon,611,2,999,0,nonexistent
245,telephone,may,mon,151,1,999,0,nonexistent
246,telephone,may,mon,152,1,999,0,nonexistent
247,telephone,may,mon,611,2,999,0,nonexistent
248,telephone,may,mon,110,2,999,0,nonexistent
249,telephone,may,mon,463,1,999,0,nonexistent
250,telephone,may,mon,962,1,999,0,nonexistent
251,telephone,may,mon,102,2,999,0,nonexistent
252,telephone,may,mon,118,3,999,0,nonexistent
253,telephone,may,mon,92,2,999,0,nonexistent
254,telephone,may,mon,143,3,999,0,nonexistent
255,telephone,may,mon,189,3,999,0,nonexistent
256,telephone,may,mon,75,2,999,0,nonexistent
257,telephone,may,mon,189,2,999,0,nonexistent
258,telephone,may,mon,55,2,999,0,nonexistent
259,telephone,may,mon,935,3,999,0,nonexistent
260,telephone,may,mon,56,2,999,0,nonexistent
261,telephone,may,mon,225,2,999,0,nonexistent
262,telephone,may,mon,125,2,999,0,nonexistent
263,telephone,may,mon,286,2,999,0,nonexistent
264,telephone,may,mon,206,2,999,0,nonexistent
265,telephone,may,mon,164,2,999,0,nonexistent
266,telephone,may,mon,98,2,999,0,nonexistent
267,telephone,may,mon,446,2,999,0,nonexistent
268,telephone,may,mon,742,2,999,0,nonexistent
269,telephone,may,mon,122,3,999,0,nonexistent
270,telephone,may,mon,362,4,999,0,nonexistent
271,telephone,may,mon,357,2,999,0,nonexistent
272,telephone,may,mon,107,2,999,0,nonexistent
273,telephone,may,mon,267,2,999,0,nonexistent
274,telephone,may,mon,248,2,999,0,nonexistent
275,telephone,may,mon,215,2,999,0,nonexistent
276,telephone,may,mon,209,2,999,0,nonexistent
277,telephone,may,mon,205,2,999,0,nonexistent
278,telephone,may,mon,261,3,999,0,nonexistent
279,telephone,may,mon,83,2,999,0,nonexistent
280,telephone,may,mon,106,3,999,0,nonexistent
281,telephone,may,mon,106,2,999,0,nonexistent
282,telephone,may,mon,108,2,999,0,nonexistent
283,telephone,may,mon,214,2,999,0,nonexistent
284,telephone,may,mon,358,2,999,0,nonexistent
285,telephone,may,mon,453,2,999,0,nonexistent
286,telephone,may,mon,364,2,999,0,nonexistent
287,telephone,may,mon,173,2,999,0,nonexistent
288,telephone,may,mon,241,2,999,0,nonexistent
289,telephone,may,mon,224,3,999,0,nonexistent
290,telephone,may,mon,148,2,999,0,nonexistent
291,telephone,may,mon,230,2,999,0,nonexistent
292,telephone,may,mon,199,3,999,0,nonexistent
293,telephone,may,mon,196,2,999,0,nonexistent
294,telephone,may,mon,111,4,999,0,nonexistent
295,telephone,may,mon,316,3,999,0,nonexistent
296,telephone,may,mon,240,2,999,0,nonexistent
297,telephone,may,mon,669,3,999,0,nonexistent
298,telephone,may,mon,425,2,999,0,nonexistent
299,telephone,may,mon,121,2,999,0,nonexistent
300,telephone,may,mon,174,5,999,0,nonexistent
301,telephone,may,mon,88,5,999,0,nonexistent
302,telephone,may,mon,135,4,999,0,nonexistent
303,telephone,may,mon,152,2,999,0,nonexistent
304,telephone,may,mon,402,3,999,0,nonexistent
305,telephone,may,mon,221,2,999,0,nonexistent
306,telephone,may,mon,213,2,999,0,nonexistent
307,telephone,may,mon,144,3,999,0,nonexistent
308,telephone,may,mon,158,3,999,0,nonexistent
309,telephone,may,mon,220,3,999,0,nonexistent
310,telephone,may,mon,325,2,999,0,nonexistent
311,telephone,may,mon,503,2,999,0,nonexistent
312,telephone,may,mon,680,2,999,0,nonexistent
313,telephone,may,mon,421,4,999,0,nonexistent
314,telephone,may,mon,130,3,999,0,nonexistent
315,telephone,may,mon,174,3,999,0,nonexistent
316,telephone,may,mon,113,2,999,0,nonexistent
