customer_id,Postal Code
1,42420
2,42420
3,90036
4,33311
5,33311
6,90032
7,90032
8,90032
9,90032
10,90032
11,90032
12,90032
13,28027
14,98103
15,76106
16,76106
17,53711
18,84084
19,94109
20,94109
21,94109
22,68025
23,68025
24,19140
25,84057
26,90049
27,90049
28,19140
29,19140
30,19140
31,19140
32,19140
33,19140
34,19140
35,77095
36,75080
37,75080
38,77041
39,77041
40,77041
41,77041
42,60540
43,90049
44,32935
45,55122
46,55122
47,48185
48,19901
49,19901
50,47150
51,47150
52,47150
53,47150
54,10024
55,10024
56,12180
57,12180
58,12180
59,12180
60,12180
61,12180
62,12180
63,90004
64,90004
65,90004
66,90004
67,60610
68,85234
69,85234
70,22153
71,10009
72,49201
73,38109
74,38109
75,38109
76,77041
77,77041
78,77041
79,77070
80,35601
81,35601
82,94122
83,94122
84,27707
85,60623
86,29203
87,55901
88,55901
89,77095
90,90036
91,90036
92,90036
93,55407
94,55407
95,55407
96,97206
97,10009
98,94122
99,55106
100,60610
101,60610
102,60610
103,55901
104,80013
105,80013
106,80013
107,28205
108,28205
109,28205
110,60462
111,10035
112,50322
113,50322
114,43229
115,43229
116,43229
117,43229
118,98103
119,37620
120,19805
121,19805
122,19805
123,19805
124,19805
125,77041
126,61701
127,85023
128,85023
129,90004
130,90004
131,43229
132,43229
133,43229
134,95661
135,95661
136,95661
137,95661
138,95661
139,95661
140,95661
141,19140
142,94122
143,94122
144,94122
145,64055
146,91104
147,43055
148,53132
149,53132
150,53132
151,53132
152,85254
153,85254
154,95123
155,95123
156,95123
157,98105
158,98115
159,73034
160,73034
161,90045
162,19134
163,88220
164,98115
165,78207
166,78207
167,78207
168,78207
169,78207
170,78207
171,78207
172,90004
173,90004
174,90004
175,60623
176,60623
177,77036
178,43055
179,43055
180,10009
181,62521
182,62521
183,71203
184,71203
185,71203
186,6824
187,90032
188,75051
189,75051
190,10035
191,10035
192,10035
193,10035
194,10035
195,92374
196,45011
197,45011
198,7090
199,19120
200,19120
201,44312
202,80219
203,80219
204,75220
205,37064
206,90604
207,48601
208,48601
209,48601
210,48601
211,48601
212,75220
213,44256
214,44256
215,44256
216,44256
217,44256
218,90032
219,90032
220,43017
221,43017
222,43017
223,43017
224,43017
225,43017
226,48227
227,48227
228,48227
